Product.Name,SAP,Melt.Point,Hot.Tensile,Cold.Tensile,GFN.Raw,GFN.Coated,LOI,Lake,KFB,IO,eco
CAT-313,321820,208,NA,NA,NA,NA,2.41,NA,NA,NA,NA
CAT-314,305681,205,NA,NA,NA,NA,2.86,NA,NA,NA,NA
CAT-316,321821,205,NA,NA,NA,NA,3.48,NA,NA,NA,NA
CAT-410,308461,215,648,866,NA,NA,3.89,NA,NA,NA,NA
CAT-486,359408,208,NA,NA,NA,NA,5.4,NA,NA,NA,NA
CAT-487,346175,214,571,632,87.6,NA,5.24,NA,NA,NA,Yes
CC E-Series AB&I 60-3.0,360223,218,354,470,60.2,NA,3.27,NA,NA,NA,Yes
CC E-Series Brighton 80-4.5B,380538,213,204,NA,NA,NA,NA,NA,NA,Yes,Yes
CC E-Series Brown 60-3.25,380631,208,383,517,NA,56.1,3.58,NA,NA,NA,Yes
CC E-Series Buffalo 80-3.0,361486,208,390,NA,NA,NA,NA,NA,NA,NA,Yes
CC E-Series Canfield 60-1.75,380333,233,195,293,59.8,NA,1.83,NA,NA,NA,Yes
CC E-Series Canfield 60-2.0,380073,225,198,327,63.5,NA,2.25,NA,Yes,NA,Yes
CC E-Series Canfield 60-2.5NoEZ,380251,217,341,NA,NA,56.2,2.8,NA,NA,NA,Yes
CC E-Series Canfield 60L-3.0,380081,213,371,NA,NA,NA,NA,Yes,NA,NA,Yes
CC E-Series Canfield 60L-3.25,380259,213,366,NA,NA,NA,NA,Yes,NA,NA,Yes
CC E-Series Carpbros 55-3.5,380334,215,438,480,NA,NA,3.52,NA,NA,NA,Yes
CC E-Series Carpbros 60-2.0,366073,215,223,NA,NA,NA,NA,NA,Yes,NA,Yes
CC E-Series Carpbros 60-2.75,362450,217,300,NA,NA,NA,NA,NA,NA,NA,Yes
CC E-Series Carpbros 60-3.0,380077,215,360,457,60.8,NA,3.33,NA,Yes,NA,Yes
CC E-Series Carpbros 80-2.25,380101,202,282,NA,NA,NA,NA,NA,Yes,NA,Yes
CC E-Series Casmatec 60-2.5,380671,216,273,404,NA,NA,2.47,NA,NA,NA,Yes
CC E-Series CM-TEC 70L-2.5,365269,213,230,346,NA,63.5,2.71,Yes,Yes,NA,Yes
CC E-Series Dayton 60-1.5,380241,224,158,NA,NA,NA,NA,NA,Yes,NA,Yes
CC E-Series Dee 55-2.25,380337,217,300,NA,NA,NA,NA,NA,Yes,NA,Yes
CC E-Series Dee 80-2.25,380338,209,251,375,76.2,NA,2.61,NA,Yes,NA,Yes
CC E-Series Elkhart 65L-2.5,365061,206,311,NA,NA,NA,NA,Yes,NA,NA,Yes
CC E-Series HAI 55-2.25,380162,202,400,500,NA,NA,2.69,NA,NA,NA,Yes
CC E-Series HAI 60-2.0,380156,223,216,331,60.3,58.5,2.2,NA,Yes,NA,Yes
CC E-Series HAI 60-3.0,380149,217,376,482,NA,NA,3.26,NA,NA,NA,Yes
CC E-Series HAI 60-3.25,380161,219,419,449,51.8,NA,3.58,NA,NA,NA,Yes
CC E-Series HAI 60-4.75B,380158,211,419,533,NA,NA,4.63,NA,NA,Yes,Yes
CC E-Series HAI 80-2.25,380370,201,281,462,74.9,71.3,2.63,NA,Yes,NA,Yes
CC E-Series Karrich 60-2.5,380204,224,293,396,NA,57.4,2.82,NA,Yes,NA,Yes
CC E-Series Karrich 60-2.75,380004,213,330,441,NA,56,2.99,NA,NA,NA,Yes
CC E-Series Kingsbry 50L-2.5R,380196,222,236,345,NA,49.6,2.69,Yes,NA,Yes,Yes
CC E-Series LaGrand 60-4.75B,380074,212,354,518,NA,54.5,4.69,NA,NA,Yes,Yes
CC E-Series LaGrand 80-2.25,369571,211,NA,358,NA,72,2.38,NA,NA,NA,Yes
CC E-Series LE Jones 55-2.25,380044,204,348,477,NA,NA,2.64,NA,NA,NA,Yes
CC E-Series LFS 60-3.5,362094,205,486,NA,NA,NA,NA,NA,NA,NA,Yes
CC E-Series MACA 60-3.75B,380268,207,151,NA,NA,NA,NA,NA,NA,Yes,Yes
CC E-Series Muncie 70L-2.5,367990,214,229,369,69.3,NA,2.71,Yes,Yes,NA,Yes
CC E-Series OCL IM 60-3.25,363144,236,378,NA,NA,NA,NA,NA,NA,NA,Yes
CC E-Series OCL IM 80-4.0,363146,215,485,NA,NA,NA,NA,NA,NA,NA,Yes
CC E-Series Opta 60-1.9R,364719,228,160,278,60.3,NA,2.03,NA,NA,Yes,Yes
CC E-Series Opta 70-4.25BD,380141,197,564,687,70.3,NA,4,NA,NA,Yes,Yes
CC E-Series PacStates 70-5.5,380057,200,686,879,71.3,NA,5.79,NA,NA,NA,Yes
CC E-Series PacSteel 60-4.75B,360434,211,361,542,NA,NA,4.69,NA,NA,Yes,Yes
CC E-Series Percast 70-2.5,365475,213,298,NA,NA,NA,NA,NA,NA,NA,Yes
CC E-Series QualCast 60-3.25,369468,224,402,479,53.9,NA,3.5,NA,NA,NA,Yes
CC E-Series Ramsden 60-1.9,380536,226,168,297,60.3,NA,2.06,NA,NA,NA,Yes
CC E-Series RHS 60-2.2,362086,212,300,337,60.2,NA,2.46,NA,NA,NA,Yes
CC E-Series Superior 65L-2.5,361358,206,310,NA,NA,NA,NA,Yes,NA,NA,Yes
CC E-Series Supreme 60-3.0,380266,201,375,570,NA,NA,3.2,NA,NA,NA,Yes
CC E-Series Temper 80-4.0,363398,213,250,550,NA,NA,NA,NA,NA,NA,Yes
CC E-Series Travis 70-4.0,370285,204,523,584,NA,61.9,4.01,NA,NA,NA,Yes
CC E-Series US Pipe 80-4.0,380232,213,559,692,82.8,NA,4.06,NA,NA,NA,Yes
CC E-Series Weaver 60-3.0B,380254,207,367,524,60.5,NA,2.97,NA,NA,Yes,Yes
CC E-Series Weaver 65-4.0B,380286,218,339,478,69.7,NA,3.84,NA,NA,Yes,Yes
CC E-Series Weaver 80-2.5,380762,218,274,440,74.9,NA,2.61,NA,NA,NA,Yes
CC E-Series Weaver 80-5.5B,363764,222,459,562,76.4,70.9,4.79,NA,NA,Yes,Yes
